id,name,reliability,source,url,reason
"andys-apple-farm","Andy's Apple Farm","yellow","1key","https://1key.lol/games/game/?id=andys-apple-farm","source_ok_proxy_unverified"
"aqua-park","Aqua Park","yellow","1key","https://1key.lol/games/game/?id=aqua-park","source_ok_proxy_unverified"
"babel-tower","Babel Tower","yellow","1key","https://1key.lol/games/game/?id=babel-tower","source_ok_proxy_unverified"
"backrooms","Backrooms","yellow","1key","https://3kh0.github.io/projects/backrooms/index.html","source_ok_proxy_unverified"
"bad-parenting-1","Bad Parenting 1","yellow","1key","https://1key.lol/games/game/?id=bad-parenting-1","source_ok_proxy_unverified"
"basketball-random","Basketball Random","yellow","1key","https://1key.lol/games/game/?id=basketball-random","source_ok_proxy_unverified"
"ben-10-omniverse","Ben 10 Omniverse","yellow","1key","https://1key.lol/games/game/?id=ben-10-omniverse","source_ok_proxy_unverified"
"ben-10-protector-of-earth","Ben 10 Protector Of Earth","yellow","1key","https://1key.lol/games/game/?id=ben-10-protector-of-earth","source_ok_proxy_unverified"
"binding-of-isaac-wrath-of-the-lamb","Binding Of Isaac Wrath Of The Lamb","yellow","1key","https://1key.lol/games/game/?id=binding-of-isaac-wrath-of-the-lamb","source_ok_proxy_unverified"
"bloons-td-4","Bloons TD 4","yellow","1key","https://1key.lol/games/game/?id=bloons-td-4","source_ok_proxy_unverified"
"brotato","Brotato","yellow","1key","https://1key.lol/games/game/?id=brotato","source_ok_proxy_unverified"
"cheese-rolling","Cheese Rolling","yellow","1key","https://1key.lol/games/game/?id=cheese-rolling","source_ok_proxy_unverified"
"christmas-massacre","Christmas Massacre","yellow","1key","https://1key.lol/games/game/?id=christmas-massacre","source_ok_proxy_unverified"
"code-editor","Code Editor","yellow","1key","https://1key.lol/games/game/?id=code-editor","source_ok_proxy_unverified"
"core-ball","Core Ball","yellow","1key","https://1key.lol/games/game/?id=core-ball","source_ok_proxy_unverified"
"crazy-cattle-3-d","Crazy Cattle 3 D","yellow","1key","https://1key.lol/games/game/?id=crazy-cattle-3d","source_ok_proxy_unverified"
"csgo-clicker","Csgo Clicker","yellow","1key","https://adfree-sz-games.github.io/Games/CSGO-CLICKER","source_ok_proxy_unverified"
"cube-field","Cube Field","yellow","1key","https://1key.lol/games/game/?id=cube-field","source_ok_proxy_unverified"
"dice-a-million","Dice A Million","yellow","1key","https://1key.lol/games/game/?id=dice-a-million","source_ok_proxy_unverified"
"dungeons-degenerate-gamblers","Dungeons & Degenerate Gamblers","yellow","1key","https://1key.lol/games/game/?id=dungeons-and-degenerate-gamblers","source_ok_proxy_unverified"
"endoparasitic","Endoparasitic","yellow","1key","https://1key.lol/games/game/?id=endoparasitic","source_ok_proxy_unverified"
"fear-hunger","Fear & Hunger","yellow","1key","https://1key.lol/games/game/?id=fear-and-hunger","source_ok_proxy_unverified"
"fears-to-fathom-home-alone","Fears To Fathom: Home Alone","yellow","1key","https://1key.lol/games/game/?id=fears-to-fathom-home-alone","source_ok_proxy_unverified"
"five-nights-at-epsteins-2","Five Nights At Epstein's","yellow","1key","https://1key.lol/games/game/?id=five-nights-at-epsteins","source_ok_proxy_unverified"
"flight-simulator","Flight Simulator","yellow","1key","https://1key.lol/games/game/?id=flight-simulator","source_ok_proxy_unverified"
"geometry-dash-subzero","Geometry Dash Subzero","yellow","1key","https://1key.lol/games/game/?id=geometry-dash-subzero","source_ok_proxy_unverified"
"google-dino","Google Dino","yellow","1key","https://1key.lol/games/game/?id=google-dino","source_ok_proxy_unverified"
"grand-theft-auto-vice-city","Grand Theft Auto: Vice City","yellow","1key","https://1key.lol/games/game/?id=grand-theft-auto-vice-city","source_ok_proxy_unverified"
"granny","Granny","yellow","1key","https://adfree-sz-games.github.io/Games8/GRANNY","source_ok_proxy_unverified"
"hollow-knight-silksong","Hollow Knight: Silksong","yellow","1key","https://1key.lol/games/game/?id=hollow-knight-silksong","source_ok_proxy_unverified"
"hotline-miami","Hotline Miami","yellow","1key","https://1key.lol/games/game/?id=hotline-miami","source_ok_proxy_unverified"
"iron-lung","Iron Lung","yellow","1key","https://1key.lol/games/game/?id=iron-lung","source_ok_proxy_unverified"
"iron-snout","Iron Snout","yellow","1key","https://1key.lol/games/game/?id=iron-snout","source_ok_proxy_unverified"
"jelly-drift","Jelly Drift","yellow","1key","https://1key.lol/games/game/?id=jelly-drift","source_ok_proxy_unverified"
"karlson","Karlson","yellow","1key","https://1key.lol/games/game/?id=karlson","source_ok_proxy_unverified"
"kindergarten","Kindergarten","yellow","1key","https://1key.lol/games/game/?id=kindergarten","source_ok_proxy_unverified"
"kindergarten-2","Kindergarten 2","yellow","1key","https://1key.lol/games/game/?id=kindergarten-2","source_ok_proxy_unverified"
"kindergarten-3","Kindergarten 3","yellow","1key","https://1key.lol/games/game/?id=kindergarten-3","source_ok_proxy_unverified"
"legend-of-zelda","Legend Of Zelda","yellow","1key","https://1key.lol/games/game/?id=legend-of-zelda","source_ok_proxy_unverified"
"legend-of-zelda-ocarina-of-time","Legend Of Zelda Ocarina Of Time","yellow","1key","https://1key.lol/games/game/?id=legend-of-zelda-ocarina-of-time","source_ok_proxy_unverified"
"legend-of-zelda-phantom-hourglass","Legend Of Zelda Phantom Hourglass","yellow","1key","https://1key.lol/games/game/?id=legend-of-zelda-phantom-hourglass","source_ok_proxy_unverified"
"legend-of-zelda-the-minish-cap","Legend Of Zelda The Minish Cap","yellow","1key","https://1key.lol/games/game/?id=legend-of-zelda-the-minish-cap","source_ok_proxy_unverified"
"legend-of-zelda-the-spirit-tracks","Legend Of Zelda The Spirit Tracks","yellow","1key","https://1key.lol/games/game/?id=legend-of-zelda-the-spirit-tracks","source_ok_proxy_unverified"
"masked-forces-unlimited","Masked Forces Unlimited","yellow","1key","https://1key.lol/games/game/?id=masked-forces-unlimited","source_ok_proxy_unverified"
"midnight-shift","Midnight Shift","yellow","1key","https://1key.lol/games/game/?id=midnight-shift","source_ok_proxy_unverified"
"mountain-bike-runner","Mountain Bike Runner","yellow","1key","https://1key.lol/games/game/?id=mountain-bike-runner","source_ok_proxy_unverified"
"my-friend-pedro","My Friend Pedro","yellow","1key","https://1key.lol/games/game/?id=my-friend-pedro","source_ok_proxy_unverified"
"my-friend-pedro-arena","My Friend Pedro Arena","yellow","1key","https://1key.lol/games/game/?id=my-friend-pedro-arena","source_ok_proxy_unverified"
"papas-bakeria","Papa's Bakeria","yellow","1key","https://1key.lol/games/game/?id=papas-bakeria","source_ok_proxy_unverified"
"papas-cheeseria","Papa's Cheeseria","yellow","1key","https://1key.lol/games/game/?id=papas-cheeseria","source_ok_proxy_unverified"
"papas-cupcakeria","Papa's Cupcakeria","yellow","1key","https://1key.lol/games/game/?id=papas-cupcakeria","source_ok_proxy_unverified"
"papas-sushiria","Papa's Sushiria","yellow","1key","https://1key.lol/games/game/?id=papas-sushiria","source_ok_proxy_unverified"
"plinko-with-cheats","Plinko With Cheats","yellow","1key","https://1key.lol/games/game/?id=plinko-with-cheats","source_ok_proxy_unverified"
"resident-evil-3","Resident Evil 3","yellow","1key","https://1key.lol/games/game/?id=resident-evil-3","source_ok_proxy_unverified"
"rogue-sergeant","Rogue Sergeant","yellow","1key","https://1key.lol/games/game/?id=rogue-sergeant","source_ok_proxy_unverified"
"saul-goodman-run","Saul Goodman Run","yellow","1key","https://1key.lol/games/game/?id=saul-goodman-run","source_ok_proxy_unverified"
"schoolboy-runaway","Schoolboy Runaway","yellow","1key","https://1key.lol/games/game/?id=schoolboy-runaway","source_ok_proxy_unverified"
"shred-sauce","Shred Sauce","yellow","1key","https://1key.lol/games/game/?id=shred-sauce","source_ok_proxy_unverified"
"skibidi-backrooms","Skibidi Backrooms","yellow","1key","https://1key.lol/games/game/?id=skibidi-backrooms","source_ok_proxy_unverified"
"slender","Slender","yellow","1key","https://1key.lol/games/game/?id=slender","source_ok_proxy_unverified"
"slendy-tubbies","Slendy Tubbies","yellow","1key","https://1key.lol/games/game/?id=slendy-tubbies","source_ok_proxy_unverified"
"slow-roads","Slow Roads","yellow","1key","https://1key.lol/games/game/?id=slow-roads","source_ok_proxy_unverified"
"soundboard","Soundboard","yellow","1key","https://3kh0.github.io/projects/soundboard/index.html","source_ok_proxy_unverified"
"stackball-io","Stackball IO","yellow","1key","https://1key.lol/games/game/?id=stackball-io","source_ok_proxy_unverified"
"stake-mines","Stake Mines","yellow","1key","https://1key.lol/games/game/?id=stake-mines","source_ok_proxy_unverified"
"survival-race-arena","Survival Race Arena","yellow","1key","https://1key.lol/games/game/?id=survival-race-arena","source_ok_proxy_unverified"
"thats-not-my-neighbor","That's Not My Neighbor","yellow","1key","https://1key.lol/games/game/?id=thats-not-my-neighbor","source_ok_proxy_unverified"
"the-impossible-quiz","The Impossible Quiz","yellow","1key","https://1key.lol/games/game/?id=the-impossible-quiz","source_ok_proxy_unverified"
"the-man-from-the-window","The Man From The Window","yellow","1key","https://1key.lol/games/game/?id=the-man-from-the-window","source_ok_proxy_unverified"
"the-worlds-hardest-game","The World's Hardest Game","yellow","1key","https://1key.lol/games/game/?id=the-worlds-hardest-game","source_ok_proxy_unverified"
"undertale-yellow","Undertale Yellow","yellow","1key","https://1key.lol/games/game/?id=undertale-yellow","source_ok_proxy_unverified"
"webfishing","Webfishing","yellow","1key","https://1key.lol/games/game/?id=webfishing","source_ok_proxy_unverified"
"webgl-fluid","Webgl Fluid","yellow","1key","https://1key.lol/games/game/?id=webgl-fluid","source_ok_proxy_unverified"
"you-vs-100-skibidi","You Vs. 100 Skibidi","yellow","1key","https://1key.lol/games/game/?id=you-vs-100-skibidi","source_ok_proxy_unverified"
"selenite-btd5","Bloons Tower Defense 5","yellow","lucide","https://adfree-sz-games.github.io/games/Flash.html?game=/Games7/btd5.swf","source_ok_proxy_unverified"
"selenite-riddleschool","Riddle School","yellow","lucide","https://adfree-sz-games.github.io/games/Flash.html?game=/games/swf/riddd.swf","source_ok_proxy_unverified"
"selenite-btd4","Bloons Tower Defense 4","yellow","lucide","https://adfree-sz-games.github.io/games/Flash.html?game=/Games7/bloonstd4.swf","source_ok_proxy_unverified"
"selenite-pandemic2","Pandemic 2","yellow","lucide","https://3kh0.github.io/projects/pandemic2/index.html","source_ok_proxy_unverified"
"selenite-geometrydash","Geometry Dash (Scratch)","yellow","lucide","https://3kh0.github.io/projects/geodash/index.html","source_ok_proxy_unverified"
"selenite-portalflash","Portal (Flash)","yellow","lucide","https://3kh0.github.io/projects/portalflash/index.html","source_ok_proxy_unverified"
